nomor_polisi,merk,jenis,tahun,ppm
G 4028 ZV,Honda,Beat fi,2020,"29,255"
H 2419 ATW,Yamaha,Lexi,2019,"116,060"
AA 4209 LB,Honda,Vario 125,2021,"57,016"
K 6385 RW,Honda,Scoopy,2022,"26,866"
H 6505 KH,Yamaha,Mio,2015,"76,949"
H 4323 CA,Honda,Beat fi,2013,"27,352"
H 5205 VF,Honda,Beat,2012,"53,027"
H 2587 AQ,Honda,Beat,2012,"43,720"
H 3038 KF,Honda,Beat Streets,2023,"24,612"
H 4366 NP,Honda,Beat fi,2019,"41,970"
K 2773 EH,Honda,Vario 150,2019,"51,090"
G 3307 XC,Honda,Beat fi,2022,"32,731"
H 4622 ATD,Yamaha,Mio,2017,"82,672"
H 3175 AUG,Honda,Vario 125,2015,"97,587"
H 3557 AF,Yamaha,Mio 125 M3,2022,"31,523"
H 5459 AFH,Yamaha,Fino 125,2023,"22,673"
H 4419 GH,Yamaha,Gear 125,2020,"38,739"
G 2454 V,Yamaha,Gear 125,2020,"43,825"
H 6241 EN,Yamaha,lexi,2018,"57,582"
H 8875 QR,Yamaha,Soul GT,2016,"53,251"
